algorithm,config,compression_ratio,compress_speed_mbps,decompress_speed_mbps,in_algo_cspeed_frontier,in_algo_dspeed_frontier
xz,-1,7.520470187122326,37.88915839610304,203.00584420063436,True,False
xz,-3,7.509238713798062,18.845925897511904,211.01199850584837,False,False
xz,-5,8.714602893732865,4.851185801584645,228.86365788692626,True,False
xz,-7,8.73090432674748,4.6265534018644825,229.0196365873891,True,True
xz,-9,8.73090432674748,4.595213429854298,205.1094731607152,False,False
zlib,-1,5.516084185499714,165.56157969905246,618.952491061737,True,False
zlib,-3,5.607840574287446,119.25892926267085,678.1538824126404,True,True
zlib,-5,5.79557636669116,71.04843136666574,454.3584844492531,True,False
zlib,-7,5.829203122583223,26.128103726307824,459.22169017194756,True,False
zlib,-9,5.835811041709571,3.277300168433458,460.40525960347964,True,True
zstd,-1,6.213110305941761,584.7777573942302,1373.3574278195715,True,False
zstd,-11,6.5924754573208615,39.12257786111504,1391.4203534603334,False,False
zstd,-13,6.604473658045997,22.671064162454964,1596.8301186555734,False,False
zstd,-15,6.764791024471942,12.568024414288198,2276.104507017293,True,True
zstd,-16,6.625788942128644,9.23960998034704,1687.8073690812398,False,False
zstd,-19,7.45339587809115,5.776224925480698,1427.849962221934,True,True
zstd,-3,5.923852686285026,382.7179685341866,1302.8656603897978,False,False
zstd,-5,6.049390094726099,246.53629229935456,1349.8189235335674,False,False
zstd,-7,6.201144479126042,110.82504574314122,1350.4824958368208,False,False
zstd,-9,6.673832625886109,79.97995568590156,1357.0098569451009,True,False
openzl,,11.087230828536415,135.65106980227395,2570.1584678791237,True,True
openzl,,11.087156829589278,137.0958818574774,2629.8752282169266,True,True
openzl,,11.08628648981612,141.05654833561223,2758.1198750199205,True,True
openzl,,10.846006954657867,640.5901578934323,863.2933801800776,True,False
openzl,,10.29160328362285,252.4085358708643,2937.3404691622404,False,True
openzl,,10.304784328407719,657.1580928267298,1224.8608059783103,True,False
openzl,,8.800826736979431,258.3380313786181,2958.9344497457805,False,True
openzl,,8.810669033264348,709.6611256091144,2309.326811640293,True,False
openzl,,7.902729725792735,784.3910456119987,2466.6623756227796,True,False
openzl,,7.902692130414972,786.7051593882185,2481.0399675128865,True,False
openzl,,3.996188644775226,556.0216137825188,3943.84992474029,False,True
openzl,,3.983577819815027,553.26208024797,4023.23344470576,False,True
openzl,,1.9999812183918175,1419.5190087979481,3126.966935471261,True,False
